"model","predictor","estimate","standard_error","ci_lower","ci_upper","confidence_interval_95","p_value"
"First-pass linear regression","Home educational resources (per scale point)",22.48,0.2,22.03,22.94,"[22.03, 22.94]","<0.001"
"First-pass linear regression","Own computer or tablet at home: Yes vs No",6.12,0.65,4.71,7.53,"[4.71, 7.53]","<0.001"
"First-pass linear regression","Language of test at home: Almost always vs Always",8.12,0.77,6.44,9.81,"[6.44, 9.81]","<0.001"
"First-pass linear regression","Language of test at home: Sometimes vs Always",-2.93,0.8,-4.6,-1.25,"[-4.60, -1.25]","0.002"
"First-pass linear regression","Language of test at home: Never vs Always",-12.44,1.08,-14.6,-10.28,"[-14.60, -10.28]","<0.001"
"Main multilevel model","Home educational resources (per scale point)",14.56,0.18,14.17,14.95,"[14.17, 14.95]","<0.001"
"Main multilevel model","Own computer or tablet at home: Yes vs No",-0.52,0.61,-1.85,0.82,"[-1.85, 0.82]","0.415"
"Main multilevel model","Language of test at home: Almost always vs Always",0.41,0.76,-1.31,2.12,"[-1.31, 2.12]","0.607"
"Main multilevel model","Language of test at home: Sometimes vs Always",-10.09,0.74,-11.63,-8.54,"[-11.63, -8.54]","<0.001"
"Main multilevel model","Language of test at home: Never vs Always",-16.28,0.96,-18.18,-14.39,"[-18.18, -14.39]","<0.001"
