"system_id","eligibility_flag","original_student_n","eligible_student_n","excluded_student_n","exclusion_percentage","schools_before_filtering","schools_after_filtering","no_eligible_cases","very_small_eligible_sample","very_few_retained_schools"
"AAD","eligible_rq1",12109,11485,624,5.153191840779585,299,297,FALSE,FALSE,FALSE
"AAD","eligible_rq2",12109,11434,675,5.574366173920224,299,297,FALSE,FALSE,FALSE
"AAD","eligible_main_dp",12109,11244,865,7.143447022875547,299,297,FALSE,FALSE,FALSE
"AAD","eligible_domain_comparison",12109,11244,865,7.143447022875547,299,297,FALSE,FALSE,FALSE
"ADU","eligible_rq1",8164,7975,189,2.3150416462518373,174,174,FALSE,FALSE,FALSE
"ADU","eligible_rq2",8164,7970,194,2.3762861342479176,174,174,FALSE,FALSE,FALSE
"ADU","eligible_main_dp",8164,7906,258,3.1602155805977463,174,174,FALSE,FALSE,FALSE
"ADU","eligible_domain_comparison",8164,7906,258,3.1602155805977463,174,174,FALSE,FALSE,FALSE
"ARE","eligible_rq1",32740,31517,1223,3.735491753207086,750,747,FALSE,FALSE,FALSE
"ARE","eligible_rq2",32740,31423,1317,4.022602321319487,750,747,FALSE,FALSE,FALSE
"ARE","eligible_main_dp",32740,30997,1743,5.32376298106292,750,747,FALSE,FALSE,FALSE
"ARE","eligible_domain_comparison",32740,30997,1743,5.32376298106292,750,747,FALSE,FALSE,FALSE
"ASH","eligible_rq1",6385,6175,210,3.288958496476116,147,146,FALSE,FALSE,FALSE
"ASH","eligible_rq2",6385,6155,230,3.602192638997651,147,146,FALSE,FALSE,FALSE
"ASH","eligible_main_dp",6385,6084,301,4.7141738449491,147,146,FALSE,FALSE,FALSE
"ASH","eligible_domain_comparison",6385,6084,301,4.7141738449491,147,146,FALSE,FALSE,FALSE
"AUS","eligible_rq1",8442,7924,518,6.135986733001658,276,273,FALSE,FALSE,FALSE
"AUS","eligible_rq2",8442,7928,514,6.088604596067283,276,273,FALSE,FALSE,FALSE
"AUS","eligible_main_dp",8442,7865,577,6.834873252783701,276,273,FALSE,FALSE,FALSE
"AUS","eligible_domain_comparison",8442,7865,577,6.834873252783701,276,273,FALSE,FALSE,FALSE
"AUT","eligible_rq1",4639,4593,46,0.99159301573615,157,157,FALSE,FALSE,FALSE
"AUT","eligible_rq2",4639,4587,52,1.1209312351799956,157,157,FALSE,FALSE,FALSE
"AUT","eligible_main_dp",4639,4566,73,1.5736150032334555,157,157,FALSE,FALSE,FALSE
"AUT","eligible_domain_comparison",4639,4566,73,1.5736150032334555,157,157,FALSE,FALSE,FALSE
"AZE","eligible_rq1",6174,5926,248,4.016844833171364,197,196,FALSE,FALSE,FALSE
"AZE","eligible_rq2",6174,5891,283,4.583738257207645,197,195,FALSE,FALSE,FALSE
"AZE","eligible_main_dp",6174,5833,341,5.523161645610625,197,195,FALSE,FALSE,FALSE
"AZE","eligible_domain_comparison",6174,5833,341,5.523161645610625,197,195,FALSE,FALSE,FALSE
