"system_id","idcntry_code","source_file","source_object","original_student_n","original_school_n","standardized_grade_codes","grade_missing_n","file_code_matches_CTY","data_probability_PVs_available","number_PVs_available","algebra_PVs_available","geometry_measurement_PVs_available","all_four_domain_PV_groups_available"
"AAD",7842,"bsgaadm8.rdata","BSGAADM8",12109,299,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ADU",7841,"bsgadum8.rdata","BSGADUM8",8164,174,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ARE",784,"bsgarem8.rdata","BSGAREM8",32740,750,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ASH",7843,"bsgashm8.rdata","BSGASHM8",6385,147,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AUS",36,"bsgausm8.rdata","BSGAUSM8",8442,276,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AUT",40,"bsgautm8.rdata","BSGAUTM8",4639,157,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AZE",31,"bsgazem8.rdata","BSGAZEM8",6174,197,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"BHR",48,"bsgbhrm8.rdata","BSGBHRM8",5168,117,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"BRA",76,"bsgbram8.rdata","BSGBRAM8",22770,849,"2",0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"CHL",152,"bsgchlm8.rdata","BSGCHLM8",4478,168,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CIV",384,"bsgcivm8.rdata","BSGCIVM8",8284,154,"2",0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"CYP",196,"bsgcypm8.rdata","BSGCYPM8",4200,96,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CZE",203,"bsgczem8.rdata","BSGCZEM8",8110,210,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENG",926,"bsgengm8.rdata","BSGENGM8",4239,136,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"FIN",246,"bsgfinm8.rdata","BSGFINM8",5880,161,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"FRA",250,"bsgfram8.rdata","BSGFRAM8",4511,150,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"GEO",268,"bsggeom8.rdata","BSGGEOM8",4872,156,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"HKG",344,"bsghkgm8.rdata","BSGHKGM8",4463,135,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"HUN",348,"bsghunm8.rdata","BSGHUNM8",5426,157,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"IRL",372,"bsgirlm8.rdata","BSGIRLM8",5090,153,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"IRN",364,"bsgirnm8.rdata","BSGIRNM8",6226,224,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ISR",376,"bsgisrm8.rdata","BSGISRM8",5198,195,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ITA",380,"bsgitam8.rdata","BSGITAM8",4591,152,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"JOR",400,"bsgjorm8.rdata","BSGJORM8",6962,225,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"JPN",392,"bsgjpnm8.rdata","BSGJPNM8",3905,133,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"KAZ",398,"bsgkazm8.rdata","BSGKAZM8",6362,187,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"KOR",410,"bsgkorm8.rdata","BSGKORM8",4257,176,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"KWT",414,"bsgkwtm8.rdata","BSGKWTM8",4332,146,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"LTU",440,"bsgltum8.rdata","BSGLTUM8",5421,204,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"MAR",504,"bsgmarm8.rdata","BSGMARM8",8745,250,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"MLT",470,"bsgmltm8.rdata","BSGMLTM8",3994,42,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"MYS",458,"bsgmysm8.rdata","BSGMYSM8",8780,180,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"NOR",578,"bsgnorm8.rdata","BSGNORM8",6324,157,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"NZL",554,"bsgnzlm8.rdata","BSGNZLM8",3930,98,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OMN",512,"bsgomnm8.rdata","BSGOMNM8",8226,225,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"PRT",620,"bsgprtm8.rdata","BSGPRTM8",5414,164,"2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
