"summary_type","model_id","sample_flag","outcome","systems_n","students_n","schools_n","excluded_systems","system_id","included_in_achievement_models","exclusion_reason","variable","category","reference_category","unweighted_n","unweighted_percentage","weighted_sum","weighted_percentage"
"model_sample","A_first_pass_dp","eligible_main_dp","Data and Probability",44,272315,8171,"BRA | CIV | PSE",,,,,,,,,20998.431098555047,
"model_sample","B_null_dp","eligible_main_dp","Data and Probability",44,272315,8171,"BRA | CIV | PSE",,,,,,,,,20998.431098555047,
"model_sample","C_main_dp","eligible_main_dp","Data and Probability",44,272315,8171,"BRA | CIV | PSE",,,,,,,,,20998.431098555047,
"model_sample","D_dp_minus_number","eligible_domain_comparison","Data and Probability minus Number",44,272315,8171,"BRA | CIV | PSE",,,,,,,,,20998.431098555047,
"model_sample","E_dp_minus_algebra","eligible_domain_comparison","Data and Probability minus Algebra",44,272315,8171,"BRA | CIV | PSE",,,,,,,,,20998.431098555047,
"model_sample","F_dp_minus_geometry","eligible_domain_comparison","Data and Probability minus Geometry and Measurement",44,272315,8171,"BRA | CIV | PSE",,,,,,,,,20998.431098555047,
"model_sample","G_dp_minus_other_mean","eligible_domain_comparison","Data and Probability minus the mean of Number, Algebra, and Geometry and Measurement",44,272315,8171,"BRA | CIV | PSE",,,,,,,,,20998.431098555047,
"factor_category","C_main_dp","eligible_main_dp","Data and Probability",44,272315,8171,"BRA | CIV | PSE",,,,"ict_access","No","No",71153,26.128931568220626,5551.6301403327425,26.438309196894064
"factor_category","C_main_dp","eligible_main_dp","Data and Probability",44,272315,8171,"BRA | CIV | PSE",,,,"ict_access","Yes","No",201162,73.87106843177938,15446.800958225444,73.56169080312088
"factor_category","C_main_dp","eligible_main_dp","Data and Probability",44,272315,8171,"BRA | CIV | PSE",,,,"language_at_home","Always","Always",158219,58.10146337880763,13447.272191594402,64.03941384230244
"factor_category","C_main_dp","eligible_main_dp","Data and Probability",44,272315,8171,"BRA | CIV | PSE",,,,"language_at_home","Almost always","Always",50469,18.533316196316765,3611.909944488401,17.200856233192322
"factor_category","C_main_dp","eligible_main_dp","Data and Probability",44,272315,8171,"BRA | CIV | PSE",,,,"language_at_home","Sometimes","Always",50533,18.556818390466923,3085.659509580699,14.694714548426575
"factor_category","C_main_dp","eligible_main_dp","Data and Probability",44,272315,8171,"BRA | CIV | PSE",,,,"language_at_home","Never","Always",13094,4.808402034408681,853.5894528937034,4.065015376088935
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,11244,297,"BRA | CIV | PSE","AAD",TRUE,"None",,,,,,464.8648869946085,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,7906,174,"BRA | CIV | PSE","ADU",TRUE,"None",,,,,,486.17144106401184,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,30997,747,"BRA | CIV | PSE","ARE",TRUE,"None",,,,,,475.5910765788349,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,6084,146,"BRA | CIV | PSE","ASH",TRUE,"None",,,,,,479.46872111111344,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,7865,273,"BRA | CIV | PSE","AUS",TRUE,"None",,,,,,462.7945638420857,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,4566,157,"BRA | CIV | PSE","AUT",TRUE,"None",,,,,,492.941678075136,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,5833,195,"BRA | CIV | PSE","AZE",TRUE,"None",,,,,,470.10523259662375,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,4839,117,"BRA | CIV | PSE","BHR",TRUE,"None",,,,,,465.99090316937964,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",0,0,0,"BRA | CIV | PSE","BRA",FALSE,"No valid content-domain plausible values",,,,,,0,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,4355,168,"BRA | CIV | PSE","CHL",TRUE,"None",,,,,,486.3394672185632,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",0,0,0,"BRA | CIV | PSE","CIV",FALSE,"No valid content-domain plausible values",,,,,,0,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,4080,96,"BRA | CIV | PSE","CYP",TRUE,"None",,,,,,485.96739338115145,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,7978,210,"BRA | CIV | PSE","CZE",TRUE,"None",,,,,,491.73956527016344,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,4000,135,"BRA | CIV | PSE","ENG",TRUE,"None",,,,,,467.20493619576644,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,5699,161,"BRA | CIV | PSE","FIN",TRUE,"None",,,,,,484.3183046308894,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,4399,150,"BRA | CIV | PSE","FRA",TRUE,"None",,,,,,486.8921162735578,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,4651,156,"BRA | CIV | PSE","GEO",TRUE,"None",,,,,,479.07040547458524,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,4247,135,"BRA | CIV | PSE","HKG",TRUE,"None",,,,,,477.896811862702,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,5298,157,"BRA | CIV | PSE","HUN",TRUE,"None",,,,,,488.6084996785796,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,4989,153,"BRA | CIV | PSE","IRL",TRUE,"None",,,,,,489.1589483495391,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,6035,224,"BRA | CIV | PSE","IRN",TRUE,"None",,,,,,483.64093193623785,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,3630,194,"BRA | CIV | PSE","ISR",TRUE,"None",,,,,,344.678257834154,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,4506,152,"BRA | CIV | PSE","ITA",TRUE,"None",,,,,,490.9898748284419,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,6721,225,"BRA | CIV | PSE","JOR",TRUE,"None",,,,,,482.7377748964224,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,3716,132,"BRA | CIV | PSE","JPN",TRUE,"None",,,,,,476.38176870951827,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,6100,187,"BRA | CIV | PSE","KAZ",TRUE,"None",,,,,,478.93957063033383,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,4232,176,"BRA | CIV | PSE","KOR",TRUE,"None",,,,,,497.4668444731108,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,4085,146,"BRA | CIV | PSE","KWT",TRUE,"None",,,,,,469.4708364043439,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,5285,204,"BRA | CIV | PSE","LTU",TRUE,"None",,,,,,487.67583921124606,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,8218,250,"BRA | CIV | PSE","MAR",TRUE,"None",,,,,,469.47177547519124,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,3888,42,"BRA | CIV | PSE","MLT",TRUE,"None",,,,,,486.58966344422703,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,8694,180,"BRA | CIV | PSE","MYS",TRUE,"None",,,,,,494.9751733969096,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,6032,157,"BRA | CIV | PSE","NOR",TRUE,"None",,,,,,476.92973981283785,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,3771,98,"BRA | CIV | PSE","NZL",TRUE,"None",,,,,,478.39239125323684,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,7592,225,"BRA | CIV | PSE","OMN",TRUE,"None",,,,,,462.90453188083603,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,5294,164,"BRA | CIV | PSE","PRT",TRUE,"None",,,,,,489.5093566642897,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",0,0,0,"BRA | CIV | PSE","PSE",FALSE,"No valid content-domain plausible values",,,,,,0,
"system_sample","ALL_REQUIRED_MODELS","eligible_main_dp_and_domain_comparison","All required achievement outcomes",1,4154,191,"BRA | CIV | PSE","QAT",TRUE,"None",,,,,,482.3963100845998,
